epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.888,0.93117,1.7052,1.0306,0.54235,0.42953,0.32735,0.24815,0.78438,1.27104,0.95178,0.000413534,0.000413534,0.000413534
2,432.341,0.82994,1.14489,0.97563,0.41911,0.38723,0.45054,0.33581,0.86674,1.19075,1.02482,0.000809653,0.000809653,0.000809653
3,614.905,0.84977,1.08202,0.9943,0.71071,0.43047,0.4697,0.34862,0.86138,1.33616,0.99422,0.00118515,0.00118515,0.00118515
4,826.349,0.8345,0.9922,0.98306,0.69597,0.57834,0.54318,0.40359,0.82763,1.04212,1.00575,0.00115719,0.00115719,0.00115719
5,996.645,0.7933,0.93497,0.96746,0.82494,0.46198,0.52714,0.39566,0.82821,1.00294,0.988,0.00112625,0.00112625,0.00112625
6,1223.34,0.78071,0.88823,0.96218,0.57123,0.52955,0.56972,0.42718,0.8173,0.88484,0.998,0.00109531,0.00109531,0.00109531
7,1421.22,0.74646,0.83504,0.94596,0.80985,0.47623,0.54919,0.42285,0.80142,0.91569,0.97452,0.00106437,0.00106437,0.00106437
8,1645.08,0.74126,0.77716,0.94621,0.52773,0.50343,0.53259,0.40433,0.76051,0.93951,0.96057,0.00103344,0.00103344,0.00103344
9,1836.92,0.72147,0.7461,0.9332,0.78806,0.57237,0.59264,0.45496,0.76157,0.85534,0.94584,0.0010025,0.0010025,0.0010025
10,2047.29,0.69795,0.725,0.92861,0.77273,0.55507,0.59256,0.47195,0.7596,0.81683,0.94995,0.000971562,0.000971562,0.000971562
11,2177.7,0.69176,0.68845,0.91619,0.83481,0.58473,0.6527,0.51607,0.77523,0.74674,0.9469,0.000940625,0.000940625,0.000940625
12,2353.33,0.6758,0.64908,0.91722,0.57722,0.58843,0.61255,0.48111,0.72782,0.76216,0.93349,0.000909688,0.000909688,0.000909688
13,2507.01,0.65715,0.61995,0.90289,0.59551,0.72395,0.72932,0.56923,0.7606,0.81876,0.96396,0.00087875,0.00087875,0.00087875
14,2685.58,0.64762,0.61372,0.90717,0.52226,0.5425,0.56791,0.43991,0.78295,0.86238,0.94851,0.000847813,0.000847813,0.000847813
15,2909,0.6461,0.57373,0.90429,0.49686,0.72676,0.57937,0.45765,0.74373,0.78232,0.94539,0.000816875,0.000816875,0.000816875
16,3183.05,0.62542,0.55307,0.8972,0.58223,0.7117,0.64205,0.49912,0.74897,0.7491,0.94479,0.000785938,0.000785938,0.000785938
17,3346.36,0.59839,0.53863,0.88782,0.54984,0.71174,0.62454,0.49059,0.74175,0.79834,0.94425,0.000755,0.000755,0.000755
18,7488.82,0.59478,0.52384,0.88185,0.72375,0.71773,0.70308,0.55092,0.75505,0.7496,0.94922,0.000724062,0.000724062,0.000724062
19,7776.76,0.59033,0.50024,0.88157,0.65072,0.7071,0.67261,0.52728,0.73299,0.79074,0.93786,0.000693125,0.000693125,0.000693125
20,8093.93,0.58313,0.48092,0.87791,0.77979,0.69354,0.7294,0.56877,0.73198,0.81861,0.94258,0.000662188,0.000662188,0.000662188
21,8364.26,0.57575,0.4756,0.87778,0.77467,0.61228,0.76079,0.59186,0.72444,0.81168,0.95232,0.00063125,0.00063125,0.00063125
22,8631.55,0.56016,0.4595,0.86875,0.81179,0.58569,0.73726,0.60185,0.72538,0.76128,0.93061,0.000600313,0.000600313,0.000600313
23,9269.62,0.54527,0.44004,0.86476,0.5971,0.5964,0.65179,0.51617,0.74974,0.72332,0.94409,0.000569375,0.000569375,0.000569375
24,9585.5,0.54381,0.42304,0.86478,0.68097,0.70782,0.6842,0.54686,0.71137,0.66019,0.93256,0.000538438,0.000538438,0.000538438
25,9869.73,0.53549,0.41821,0.86283,0.56561,0.80403,0.6821,0.53521,0.71743,0.66469,0.93202,0.0005075,0.0005075,0.0005075
26,10249.9,0.52101,0.40614,0.85975,0.7579,0.7258,0.72556,0.57636,0.6937,0.64589,0.92354,0.000476562,0.000476562,0.000476562
27,10511.5,0.51169,0.39681,0.85849,0.6519,0.5693,0.6552,0.50422,0.73142,0.7418,0.94201,0.000445625,0.000445625,0.000445625
28,10836.6,0.5034,0.39016,0.85687,0.66071,0.58252,0.66982,0.52241,0.72369,0.72026,0.93697,0.000414688,0.000414688,0.000414688
29,11042.7,0.50745,0.39175,0.85713,0.63698,0.76644,0.69791,0.54429,0.71133,0.70805,0.94534,0.00038375,0.00038375,0.00038375
30,11275.3,0.48948,0.36379,0.84827,0.56912,0.71749,0.66092,0.51523,0.69692,0.72962,0.92626,0.000352812,0.000352812,0.000352812
31,11485.7,0.45581,0.32587,0.83008,0.62153,0.74403,0.66367,0.51224,0.73719,0.75158,0.9431,0.000321875,0.000321875,0.000321875
32,11704,0.44097,0.30698,0.82777,0.55405,0.75016,0.66706,0.53588,0.72001,0.7359,0.93243,0.000290937,0.000290937,0.000290937
