epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5476,1.67047,3.07379,1.43712,0.00169,0.41875,0.1432,0.07244,1.88586,4.0158,1.92704,0.000323529,0.000323529,0.0679706
2,43.2459,1.49117,1.80361,1.3418,0.14795,0.80833,0.41098,0.19459,1.75617,2.90035,1.845,0.000643857,0.000643857,0.0349576
3,52.988,1.45311,1.65966,1.31435,0.33771,0.50208,0.44298,0.26704,1.44547,1.61867,1.46067,0.000950984,0.000950984,0.00193138
4,64.7327,1.46396,1.5549,1.30831,0.55913,0.56261,0.57422,0.3293,1.58748,1.69703,1.57202,0.0009406,0.0009406,0.0009406
5,73.5248,1.44869,1.45068,1.30298,0.61708,0.6607,0.6317,0.37028,1.39076,1.61491,1.41395,0.0009208,0.0009208,0.0009208
6,85.0913,1.4538,1.37138,1.27744,0.76903,0.58333,0.67643,0.39688,1.45836,1.70043,1.47958,0.000901,0.000901,0.000901
7,98.0598,1.41908,1.29398,1.28241,0.56416,0.55625,0.56409,0.32812,1.41695,1.55446,1.41102,0.0008812,0.0008812,0.0008812
8,108.241,1.3759,1.32798,1.27532,0.62139,0.70941,0.7289,0.43146,1.42299,1.15888,1.39892,0.0008614,0.0008614,0.0008614
9,118.447,1.38685,1.24718,1.24828,0.58961,0.72036,0.7039,0.4224,1.39882,1.24465,1.40716,0.0008416,0.0008416,0.0008416
10,129.166,1.37981,1.22413,1.27472,0.69759,0.66597,0.71306,0.41404,1.50856,1.17008,1.48917,0.0008218,0.0008218,0.0008218
11,139.581,1.38185,1.15656,1.24414,0.61996,0.71196,0.66941,0.3985,1.53532,1.44908,1.44072,0.000802,0.000802,0.000802
12,152.291,1.38898,1.22321,1.2649,0.58321,0.62153,0.62507,0.38266,1.31054,1.42479,1.37399,0.0007822,0.0007822,0.0007822
13,162.186,1.39051,1.17222,1.25268,0.61055,0.67332,0.65403,0.37646,1.39295,1.38994,1.39914,0.0007624,0.0007624,0.0007624
14,172.244,1.34113,1.12047,1.22844,0.71314,0.71431,0.72312,0.42015,1.32995,1.19516,1.29948,0.0007426,0.0007426,0.0007426
15,182.393,1.35965,1.1729,1.22762,0.73255,0.71319,0.75356,0.45622,1.27787,1.2568,1.30421,0.0007228,0.0007228,0.0007228
16,191.472,1.312,1.04481,1.2091,0.65368,0.73198,0.6677,0.39963,1.26584,1.21384,1.31105,0.000703,0.000703,0.000703
17,200.08,1.30802,1.02271,1.22299,0.69265,0.6728,0.68923,0.41027,1.35848,1.28235,1.37404,0.0006832,0.0006832,0.0006832
18,208.798,1.33647,1.03379,1.21647,0.64107,0.72501,0.73637,0.44329,1.27504,1.11029,1.38549,0.0006634,0.0006634,0.0006634
19,217.777,1.33333,1.0186,1.23253,0.70589,0.72292,0.71987,0.42532,1.31138,1.12645,1.31561,0.0006436,0.0006436,0.0006436
20,226.333,1.30084,1.07402,1.20099,0.75304,0.68238,0.7461,0.4526,1.25794,1.2181,1.27711,0.0006238,0.0006238,0.0006238
21,234.908,1.27884,1.00533,1.20187,0.76292,0.75208,0.77613,0.45964,1.46622,1.14952,1.47795,0.000604,0.000604,0.000604
22,244.943,1.27703,0.93817,1.20058,0.76708,0.74459,0.77253,0.44368,1.46178,1.08662,1.44977,0.0005842,0.0005842,0.0005842
23,254.845,1.27497,0.9236,1.1807,0.78926,0.69937,0.77304,0.48248,1.21245,1.10623,1.26595,0.0005644,0.0005644,0.0005644
24,263.67,1.23075,0.97177,1.18517,0.73869,0.69306,0.77245,0.4486,1.24388,1.12708,1.26832,0.0005446,0.0005446,0.0005446
25,272.264,1.27027,0.92416,1.18868,0.71278,0.70764,0.74408,0.4275,1.37004,1.08648,1.3436,0.0005248,0.0005248,0.0005248
26,280.53,1.26406,0.95323,1.18718,0.73792,0.73958,0.7681,0.44,1.38141,1.09617,1.3502,0.000505,0.000505,0.000505
27,289.012,1.22617,0.95387,1.17421,0.84526,0.62575,0.7883,0.45846,1.30794,1.06359,1.32004,0.0004852,0.0004852,0.0004852
28,297.332,1.20238,0.85465,1.1568,0.81401,0.68125,0.78538,0.46402,1.17254,1.06005,1.25006,0.0004654,0.0004654,0.0004654
29,305.484,1.2063,0.84239,1.14999,0.75328,0.65,0.72837,0.44801,1.25352,1.07498,1.26021,0.0004456,0.0004456,0.0004456
30,314.071,1.22322,0.88875,1.16763,0.71345,0.77222,0.77388,0.45127,1.37885,1.23241,1.3532,0.0004258,0.0004258,0.0004258
31,322.222,1.21541,0.86194,1.17715,0.67647,0.83264,0.78256,0.46414,1.40696,1.13781,1.33959,0.000406,0.000406,0.000406
32,330.542,1.1851,0.82547,1.14008,0.75947,0.7774,0.77015,0.44357,1.38644,1.05471,1.34445,0.0003862,0.0003862,0.0003862
33,338.73,1.22486,0.83992,1.15583,0.80318,0.7172,0.77685,0.46338,1.2503,1.07037,1.27472,0.0003664,0.0003664,0.0003664
