epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0431,1.94507,2.26391,1.73724,0.65831,0.73775,0.75395,0.33528,1.95373,1.40983,1.58978,0.000331746,0.000331746,0.0671571
2,121.148,1.77316,1.59429,1.57927,0.75552,0.66506,0.74011,0.30016,2.11421,1.2845,1.65621,0.000651911,0.000651911,0.034144
3,174.463,1.70387,1.44857,1.51352,0.79511,0.66393,0.75336,0.35719,1.88159,1.1142,1.47692,0.000958876,0.000958876,0.00111761
4,228.902,1.68161,1.43491,1.5105,0.85337,0.71367,0.77124,0.35834,1.9739,1.11475,1.5228,0.0009406,0.0009406,0.0009406
5,281.077,1.61675,1.3175,1.45996,0.75701,0.72686,0.77671,0.29587,2.22048,1.15207,1.74544,0.0009208,0.0009208,0.0009208
6,331.006,1.59297,1.27829,1.44226,0.82152,0.75902,0.79228,0.38563,1.81644,1.09336,1.43726,0.000901,0.000901,0.000901
7,382.49,1.57834,1.22483,1.43496,0.72233,0.75518,0.78927,0.34668,1.99329,1.05851,1.55816,0.0008812,0.0008812,0.0008812
8,437.109,1.54179,1.19742,1.4107,0.74522,0.74376,0.79978,0.31343,2.19339,1.05178,1.69317,0.0008614,0.0008614,0.0008614
9,489.519,1.50244,1.12324,1.39788,0.77141,0.74105,0.77573,0.34247,1.98049,1.05636,1.54107,0.0008416,0.0008416,0.0008416
10,545.48,1.52406,1.17419,1.40001,0.8601,0.79971,0.8649,0.45096,1.67744,0.93229,1.34304,0.0008218,0.0008218,0.0008218
11,601.065,1.50852,1.13224,1.39306,0.8229,0.75278,0.83447,0.36889,1.92196,0.97702,1.49966,0.000802,0.000802,0.000802
12,656.356,1.50286,1.12784,1.36841,0.79596,0.78268,0.83826,0.34948,2.08706,1.03931,1.67052,0.0007822,0.0007822,0.0007822
13,711.258,1.47334,1.05936,1.37238,0.85912,0.80188,0.8768,0.46107,1.69304,0.86043,1.36104,0.0007624,0.0007624,0.0007624
14,766.716,1.44373,1.08396,1.35064,0.83491,0.83059,0.8628,0.4371,1.79745,0.85867,1.43608,0.0007426,0.0007426,0.0007426
15,820.937,1.43524,1.0655,1.34222,0.83849,0.76523,0.85449,0.44012,1.74645,0.88859,1.38071,0.0007228,0.0007228,0.0007228
16,872.884,1.42682,1.03213,1.33745,0.86803,0.7978,0.86129,0.44242,1.70075,0.85765,1.35766,0.000703,0.000703,0.000703
17,920.805,1.38971,0.99562,1.30321,0.85475,0.78849,0.88272,0.43918,1.74439,0.85193,1.42206,0.0006832,0.0006832,0.0006832
18,975.004,1.37492,0.95409,1.31133,0.89055,0.78959,0.87724,0.47198,1.68647,0.81847,1.3485,0.0006634,0.0006634,0.0006634
19,1028.98,1.38927,0.976,1.31189,0.84206,0.79981,0.86881,0.42506,1.81344,0.91611,1.47515,0.0006436,0.0006436,0.0006436
20,1080.91,1.3445,0.94928,1.30452,0.83793,0.83398,0.87861,0.42798,1.79686,0.85034,1.41222,0.0006238,0.0006238,0.0006238
21,1135.39,1.35368,0.92877,1.29758,0.82797,0.83329,0.88281,0.45827,1.67453,0.81509,1.36288,0.000604,0.000604,0.000604
22,1187.93,1.33786,0.92318,1.28421,0.87558,0.78723,0.87395,0.43347,1.78462,0.83105,1.43299,0.0005842,0.0005842,0.0005842
23,1241.1,1.32346,0.92403,1.27719,0.89086,0.78967,0.88474,0.48011,1.59724,0.81143,1.30908,0.0005644,0.0005644,0.0005644
24,1295.11,1.32404,0.90142,1.28477,0.75041,0.79249,0.84006,0.40241,1.86569,0.89476,1.47474,0.0005446,0.0005446,0.0005446
25,1349.33,1.29169,0.89542,1.26744,0.83942,0.83341,0.87436,0.45759,1.67121,0.79407,1.36617,0.0005248,0.0005248,0.0005248
26,1401.36,1.27747,0.87925,1.26112,0.8863,0.80775,0.88578,0.44715,1.75661,0.82286,1.40061,0.000505,0.000505,0.000505
27,1453,1.28919,0.84507,1.25876,0.87806,0.83185,0.89498,0.4519,1.70846,0.78665,1.39282,0.0004852,0.0004852,0.0004852
28,1505.86,1.26443,0.82782,1.24168,0.84892,0.82978,0.88125,0.48381,1.64483,0.78065,1.38014,0.0004654,0.0004654,0.0004654
29,1558.26,1.24426,0.81648,1.239,0.878,0.82311,0.88137,0.47828,1.62847,0.78568,1.32505,0.0004456,0.0004456,0.0004456
30,1611.73,1.23469,0.79702,1.23147,0.86594,0.85319,0.89197,0.46819,1.67161,0.753,1.37748,0.0004258,0.0004258,0.0004258
31,1663.78,1.2418,0.80428,1.22646,0.8903,0.84333,0.8996,0.47777,1.67045,0.75081,1.36104,0.000406,0.000406,0.000406
32,1717.32,1.24294,0.80676,1.23661,0.86823,0.81288,0.86469,0.46828,1.6711,0.74208,1.40233,0.0003862,0.0003862,0.0003862
33,1769.81,1.21283,0.78262,1.21363,0.90114,0.81552,0.88112,0.46962,1.68193,0.74869,1.39949,0.0003664,0.0003664,0.0003664
34,1823.2,1.18917,0.76175,1.20176,0.87347,0.82956,0.89385,0.46823,1.68516,0.75795,1.38999,0.0003466,0.0003466,0.0003466
35,1874.77,1.19054,0.77206,1.21598,0.84355,0.84505,0.89634,0.51711,1.50745,0.75446,1.28003,0.0003268,0.0003268,0.0003268
36,1926.81,1.17282,0.75539,1.20648,0.83959,0.85754,0.90347,0.47411,1.65582,0.75291,1.37624,0.000307,0.000307,0.000307
37,1979.59,1.1543,0.73853,1.18463,0.91183,0.84177,0.91097,0.46915,1.69721,0.74408,1.3947,0.0002872,0.0002872,0.0002872
38,2032.34,1.15799,0.72128,1.19235,0.897,0.82431,0.89732,0.48042,1.63497,0.76384,1.35911,0.0002674,0.0002674,0.0002674
39,2084.54,1.13357,0.7037,1.1761,0.89408,0.80545,0.88402,0.50537,1.52843,0.76811,1.30957,0.0002476,0.0002476,0.0002476
40,2137.24,1.13356,0.69422,1.17829,0.88252,0.84755,0.8968,0.4833,1.62432,0.75571,1.3692,0.0002278,0.0002278,0.0002278
41,2197.5,1.07735,0.62506,1.20717,0.85466,0.87481,0.89519,0.521,1.47723,0.70785,1.27653,0.000208,0.000208,0.000208
42,2250.56,1.05113,0.59738,1.18324,0.87648,0.83842,0.89088,0.49902,1.54368,0.73196,1.32471,0.0001882,0.0001882,0.0001882
43,2302.26,1.01746,0.57237,1.17146,0.88038,0.82122,0.89302,0.50131,1.5939,0.74554,1.34453,0.0001684,0.0001684,0.0001684
44,2353.85,1.01608,0.56707,1.17291,0.88623,0.84944,0.89194,0.5054,1.51798,0.74346,1.31017,0.0001486,0.0001486,0.0001486
45,2406.17,1.01032,0.57114,1.17542,0.90842,0.86686,0.91046,0.52086,1.51446,0.69122,1.30028,0.0001288,0.0001288,0.0001288
