epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2176,1.34248,1.36042,1.13344,0.70395,0.5113,0.63213,0.39054,1.35882,1.32855,1.14732,0.00032716,0.00032716,0.0676111
2,37.59,1.18484,0.93056,1.06684,0.80472,0.75573,0.85497,0.59242,1.20543,0.97263,1.04514,0.000647416,0.000647416,0.034598
3,55.4468,1.13672,0.8078,1.04298,0.8551,0.82696,0.89871,0.64965,1.0498,0.78511,0.99626,0.000954472,0.000954472,0.00157176
4,72.817,1.06777,0.74257,1.01416,0.84683,0.8792,0.92225,0.6514,1.09121,0.71654,1.00516,0.0009406,0.0009406,0.0009406
5,92.4506,1.08096,0.71053,1.00885,0.89383,0.92819,0.94249,0.63334,1.14384,0.71747,1.01616,0.0009208,0.0009208,0.0009208
6,108.117,1.0388,0.68105,1.00996,0.89605,0.91102,0.95116,0.68314,1.03718,0.63415,0.98516,0.000901,0.000901,0.000901
7,126.214,1.00783,0.6352,0.97871,0.88735,0.8872,0.94241,0.69535,0.98311,0.61946,0.96396,0.0008812,0.0008812,0.0008812
8,142.875,1.01932,0.62961,0.98817,0.91512,0.91083,0.9586,0.69176,1.02735,0.62094,0.98121,0.0008614,0.0008614,0.0008614
9,160.396,0.98608,0.61257,0.98591,0.9205,0.93703,0.95788,0.68348,1.02319,0.60353,0.97496,0.0008416,0.0008416,0.0008416
10,176.507,0.954,0.59197,0.96472,0.93769,0.91385,0.96283,0.71795,0.97146,0.58769,0.96469,0.0008218,0.0008218,0.0008218
11,193.066,0.94327,0.57457,0.963,0.89981,0.93886,0.96221,0.71383,0.93643,0.57324,0.94689,0.000802,0.000802,0.000802
12,209.962,0.92248,0.56097,0.96018,0.91663,0.95902,0.95753,0.71284,0.95565,0.56354,0.94888,0.0007822,0.0007822,0.0007822
13,225.279,0.94159,0.5562,0.96404,0.92039,0.94472,0.97085,0.71997,0.96823,0.55594,0.96777,0.0007624,0.0007624,0.0007624
14,241.364,0.95174,0.55958,0.9719,0.90931,0.93411,0.96384,0.73303,0.91652,0.54606,0.93897,0.0007426,0.0007426,0.0007426
